Entidad de Residencia,Año Registro,Sexo,Población Niños,Defunciones Niños,Mortalidad Niños,Población Adolescentes,Defunciones Adolescentes,Mortalidad Adolescentes
Aguascalientes,2000,Hombre,127155,11,25.48,303167,21,19.15
Aguascalientes,2001,Hombre,128063,6,10.86,306001,14,14.48
Aguascalientes,2002,Hombre,128815,11,19.41,309135,27,26.73
Aguascalientes,2003,Hombre,129517,5,8.54,312285,11,11.58
Aguascalientes,2004,Hombre,130162,12,31.62,315154,28,25.14
Aguascalientes,2005,Hombre,130570,11,18.14,317824,27,27.3
Aguascalientes,2006,Hombre,130596,10,22.83,320440,20,18.94
Aguascalientes,2007,Hombre,130521,10,22.89,323221,24,21.4
Aguascalientes,2008,Hombre,130599,8,12.69,326291,18,16.21
Aguascalientes,2009,Hombre,130840,8,13.8,329320,14,9.47
Aguascalientes,2010,Hombre,130897,16,26.76,331031,32,26.56
Aguascalientes,2011,Hombre,130663,7,11.47,332805,21,20.46
Aguascalientes,2012,Hombre,130443,4,7.32,333957,16,19.39
Aguascalientes,2013,Hombre,130101,5,19.79,334859,23,25.57
Aguascalientes,2014,Hombre,129669,6,10.04,335569,16,13.51
Baja California,2000,Hombre,300626,11,8.08,739698,25,10.11
Baja California,2001,Hombre,304174,24,20.64,752946,54,22.8
Baja California,2002,Hombre,306735,28,29.65,764985,52,18.91
Baja California,2003,Hombre,308688,15,19.76,776056,39,16.77
Baja California,2004,Hombre,310090,20,13.65,786486,44,15.78
Baja California,2005,Hombre,310955,23,19.65,796143,53,19.58
Baja California,2006,Hombre,311318,18,26.66,805002,70,31.89
Baja California,2007,Hombre,311445,13,14.98,812947,41,15.96
Baja California,2008,Hombre,311740,16,19.78,819752,32,11.56
Baja California,2009,Hombre,312736,15,13.61,825482,41,15.66
Baja California,2010,Hombre,312768,17,12.46,828644,43,15.44
Baja California,2011,Hombre,312521,15,10.11,827661,39,14.74
Baja California,2012,Hombre,312863,12,8.43,827867,52,22.21
Baja California,2013,Hombre,313266,22,15.61,827756,42,13.07
Baja California,2014,Hombre,313679,16,13.8,827397,58,24.48
Baja California Sur,2000,Hombre,53491,3,11.03,137749,7,12.8
Baja California Sur,2001,Hombre,54156,6,23.82,139318,10,20.91
Baja California Sur,2002,Hombre,54942,1,3.58,141334,5,12.99
Baja California Sur,2003,Hombre,55865,8,30.16,143589,16,31.6
Baja California Sur,2004,Hombre,56933,2,6.93,146109,8,15.58
Baja California Sur,2005,Hombre,58059,4,15.43,148777,16,33.1
Baja California Sur,2006,Hombre,59248,4,16,151584,10,21.87
Baja California Sur,2007,Hombre,60582,6,35.64,154684,10,16.57
Baja California Sur,2008,Hombre,62012,5,15.92,158084,15,30.28
Baja California Sur,2009,Hombre,63520,0,0,161728,6,14.63
Baja California Sur,2010,Hombre,65168,3,9.89,165658,7,12.88
Baja California Sur,2011,Hombre,66829,5,14.76,169453,5,4.23
Baja California Sur,2012,Hombre,68326,4,11.53,173134,14,24.72
Baja California Sur,2013,Hombre,69753,0,0,176817,2,3.76
Baja California Sur,2014,Hombre,71124,1,2.75,180488,5,10.26
Campeche,2000,Hombre,82654,9,22.18,199614,11,11.91
Campeche,2001,Hombre,82651,4,10.87,201923,14,19.27
Campeche,2002,Hombre,82523,3,7.82,204331,7,12.88
Campeche,2003,Hombre,82337,6,27.35,206623,20,28.43
Campeche,2004,Hombre,82156,4,10.26,208718,16,23.54
Campeche,2005,Hombre,82014,4,12.35,210554,14,22.22
Campeche,2006,Hombre,81929,2,5.5,212155,16,22.76
Campeche,2007,Hombre,81963,10,26.17,213599,16,17.77
Campeche,2008,Hombre,82165,6,25.6,214873,16,26.32
Campeche,2009,Hombre,82567,4,10.3,215863,14,21.29
Campeche,2010,Hombre,83051,6,16.24,215765,20,27.14
Campeche,2011,Hombre,83529,2,5.38,216971,10,15.19
Campeche,2012,Hombre,84033,4,20.22,217333,14,18.04
Campeche,2013,Hombre,84550,5,13.57,217696,13,18.73
Campeche,2014,Hombre,85069,4,20,218129,10,15
Coahuila de Zaragoza,2000,Hombre,276899,13,16.04,670765,35,15.05
Coahuila de Zaragoza,2001,Hombre,278833,10,13.19,675657,26,11.89
Coahuila de Zaragoza,2002,Hombre,280050,14,10.59,681046,32,12.4
Coahuila de Zaragoza,2003,Hombre,280792,15,14.26,686396,53,25.92
Coahuila de Zaragoza,2004,Hombre,281114,15,11.73,691232,27,10.72
Coahuila de Zaragoza,2005,Hombre,281191,17,16.2,695881,49,22.41
Coahuila de Zaragoza,2006,Hombre,281042,17,13.33,700834,51,24.36
Coahuila de Zaragoza,2007,Hombre,280629,18,16.76,706003,48,20.01
Coahuila de Zaragoza,2008,Hombre,280128,11,8.74,710934,43,20.48
Coahuila de Zaragoza,2009,Hombre,279690,15,11.97,715210,31,12.6
Coahuila de Zaragoza,2010,Hombre,278996,16,17.99,717608,28,10.33
Coahuila de Zaragoza,2011,Hombre,278223,9,7.37,719885,35,16.86
Coahuila de Zaragoza,2012,Hombre,277506,16,21.96,720908,38,15.32
Coahuila de Zaragoza,2013,Hombre,276842,10,10.87,721276,30,14.7
Coahuila de Zaragoza,2014,Hombre,276274,15,12.33,721126,53,23.38
Colima,2000,Hombre,60378,3,10.74,155086,9,20.57
Colima,2001,Hombre,60179,7,25.8,155299,15,25.9
Colima,2002,Hombre,60042,3,10.82,155652,9,20.4
Colima,2003,Hombre,60046,2,8.45,156152,4,8.52
Colima,2004,Hombre,60151,2,6.66,156567,6,15.1
Colima,2005,Hombre,60377,4,14.99,157241,16,31.1
Colima,2006,Hombre,60738,8,54.92,158310,10,11.46
Colima,2007,Hombre,61266,3,23.44,159500,11,19.26
Colima,2008,Hombre,61943,2,8.01,160935,10,20.46
Colima,2009,Hombre,62690,3,10.45,162512,11,23.31
Colima,2010,Hombre,63163,2,6.4,163523,6,14.12
Colima,2011,Hombre,63299,3,11.04,164339,5,8.75
Colima,2012,Hombre,63578,4,14.21,165252,12,23.72
Colima,2013,Hombre,63776,2,8.05,166194,8,15.8
Colima,2014,Hombre,63898,5,42.87,167138,9,14.34
Chiapas,2000,Hombre,578200,23,12.7,1319472,77,22.97
Chiapas,2001,Hombre,584538,31,12.88,1338636,109,30.67
Chiapas,2002,Hombre,589903,33,12.54,1358801,87,21.53
Chiapas,2003,Hombre,593668,42,18.16,1378838,98,22.94
Chiapas,2004,Hombre,595638,26,12.23,1398944,82,19.86
